Name,Description,Certification Date,Location,Sector,Website,Overall Score,Governance,Workers,Community,Environment,Customers
K9 Ballistics Inc.,"K9 Ballistics Inc. create the worlds longest lasting and highest quality dog beds and accessories with a commitment to the well-being of their employees, community, and the environment.","January, 2021","Camarillo, California, United States",Manufacturing,www.k9ballistics.com,82.0,15.5,21.3,16.3,25.6,3.1
Speco,"Speco® is the R&D breakthrough of Spic & Span Pte Ltd, an award-winning cleaning Social Enterprise. Built from the core values of Health, Safety and Environment, Speco® antimicrobial coating is lab-tested effective against Coronaviruses, and is also 100% safe for pets, elderly and children. As Singapore’s leading social enterprise, the company focuses on inclusive hiring and providing progressive careers for marginalised Singaporeans. Since 2017, more than 60 Social Service Agencies have become partners to train, upskill and provide employment opportunities to over 300 individuals. The company is an Internationally Accredited B Corporation that has met the highest standards of verified social and environmental performance, public transparency and legal accountability to balance profit and purpose. Speco is now used by more than 200 organizations across Singapore and the company is expanding rapidly in the region","May, 2020","Singapore, Singapore, Singapore",Service with Significant Environmental Footprint,www.speco.sg,96.5,6.2,43.0,31.3,12.9,2.8
R+B Diseño experimental SAS,"Since 2005 R+B Diseño experimental SAS BIC has been pursuing the excellency in architectural design looking to decrease their environmental footprint in all of their projects and buildings, caring for details in design, with a commitment with quality and comfort for their clients.","November, 2018","Bogotá, Bogotá D.C., Colombia",Service with Significant Environmental Footprint,www.rmasb.com,94.6,7.9,18.8,17.3,50.5,
"TS Designs, Inc.","TS Designs is a custom t-shirt printer founded in 1977. They specialize in sustainable t-shirts and printing/dyeing processes. Their customers range from hardcore Green Movement organizations to any company or group looking for a better quality product with good environmental and social impact. TS Designs has started Cotton of the Carolinas, an effort that harvests cotton and manufactures shirts all within North and South Carolina. The farthest distance in the entire process is 700 miles, as opposed to 16,000 miles from globally-sourced cotton shirts. They have kept the entire process local, which means all of the materials and all of the jobs remain here in the Carolinas.","January, 2008","Burlington, North Carolina, United States",Manufacturing,tsdesigns.com,80.7,6.9,16.5,37.1,20.2,
Shine,"Shine is a responsible neobank, which offers a 100% online pro account and a real administrative co-pilot. Pro account, invoices, accounting, insurance: they simplify the banking and administrative experience of independents, thanks to a balance between online service and human support.","June, 2020","PARIS, Ile de France, France",Service with Minor Environmental Footprint,www.shine.fr,92.9,21.1,37.0,19.9,11.3,3.4
Small Axe Peppers,"Small Axe Peppers model is to connect each customer directly to community gardens and urban farms in your neighborhood. Each garden has a unique social mission, informed by the needs of the surrounding areas. From high school students, to immigrants and refugees, to people who simply want to enjoy a shady cool green space in the middle of the city, community gardens are places where people from all backgrounds and walks of life can come together. Previously, these gardens depended on unreliable grants, donations, and out-of-pocket expenses to maintain their community gardens. Now, they are able to devote a portion of their garden to growing peppers as a cash crop, which allows them to fund their vital social programming. Small Axe Peppers allows you to directly support these urban farms and community gardens in your neighborhood each time you purchase this delicious hot sauce.","October, 2020","Queens, New York, United States",Wholesale/Retail,smallaxepeppers.com,81.7,14.1,22.1,30.6,13.1,1.5
Umalia,"Umalia is a mission-driven organization that supports organizations from all sectors in harnessing the potential of their societal engagement to create a powerful and sustainable impact on societal issues and their own performance. Umalia imagines, designs, implements and activates strategies, multi-sector partnerships and ecosystems that create sustainable economic, social, environmental and governance impact.","June, 2020","Laval, Québec, Canada",Service with Minor Environmental Footprint,www.umalia.ca,128.4,16.7,29.5,39.3,1.9,40.8
Synergy Enterprises,"Synergy works with businesses that want to be leaders in sustainability, helping them measure their carbon footprint, discover and implement environmental actions that will also save costs, and communicate the results.","March, 2016","Victoria, British Columbia, Canada",Service with Minor Environmental Footprint,www.synergyenterprises.ca,94.9,16.0,34.8,35.6,8.4,
PRAGMA,Investment Advising,"December, 2017","São Paulo, SP, Brazil",Service with Minor Environmental Footprint,pragmabr.com,80.8,19.1,29.4,20.5,8.2,3.6
Maganetti Spedizioni spa,"Maganetti Spedizioni Spa is a transport and logistics company operating in the Italian industrial market. Over the years, with professionalism and constancy, Maganetti has developed its business model, adapting to market conditions to better respond to customer needs and committing itself to follow the principles of financial, social and environmental sustainability. Their operators and drivers are the added value of a company that has been able to grow and consolidate over time and forge ever deeper relationships with its social and environmental stakeholders.","December, 2019","Tirano, Sondrio, Italy",Service with Significant Environmental Footprint,www.maganetti.com,85.6,15.5,19.6,28.7,21.6,
